Timestamp,Well,Oil Production
2019-07-28,Well 1,895
2019-07-29,Well 1,127
2019-07-30,Well 1,719
2019-07-31,Well 1,655
2019-08-01,Well 1,439
2019-08-02,Well 1,897
2019-08-03,Well 1,430
2019-08-04,Well 1,739
2019-08-05,Well 1,605
2019-08-06,Well 1,447
2019-08-07,Well 1,572
2019-08-08,Well 1,330
2019-08-09,Well 1,289
2019-08-10,Well 1,324
2019-08-11,Well 1,484
2019-08-12,Well 1,476
2019-08-13,Well 1,382
2019-08-14,Well 1,732
2019-08-15,Well 1,727
2019-08-16,Well 1,844
2019-08-17,Well 1,358
2019-08-18,Well 1,458
2019-08-19,Well 1,809
2019-08-20,Well 1,555
2019-08-21,Well 1,510
2019-08-22,Well 1,748
2019-08-23,Well 1,417
2019-08-24,Well 1,776
2019-08-25,Well 1,324
2019-08-26,Well 1,918
2019-08-27,Well 1,333
2019-08-28,Well 1,783
2019-08-29,Well 1,763
2019-08-30,Well 1,926
2019-08-31,Well 1,473
2019-09-01,Well 1,771
2019-09-02,Well 1,707
2019-09-03,Well 1,571
2019-09-04,Well 1,332
2019-09-05,Well 1,791
2019-09-06,Well 1,212
2019-09-07,Well 1,929
2019-09-08,Well 1,596
2019-09-09,Well 1,541
2019-09-10,Well 1,663
2019-09-11,Well 1,367
2019-09-12,Well 1,609
2019-09-13,Well 1,906
2019-09-14,Well 1,485
2019-09-15,Well 1,486
2019-09-16,Well 1,212
2019-09-17,Well 1,712
2019-09-18,Well 1,724
2019-09-19,Well 1,180
2019-09-20,Well 1,798
2019-09-21,Well 1,212
2019-09-22,Well 1,101
2019-09-23,Well 1,741
2019-09-24,Well 1,319
2019-09-25,Well 1,665
2019-09-26,Well 1,954
2019-09-27,Well 1,835
2019-09-28,Well 1,324
2019-09-29,Well 1,484
2019-09-30,Well 1,502
2019-10-01,Well 1,737
2019-10-02,Well 1,229
2019-10-03,Well 1,152
2019-10-04,Well 1,783
2019-10-05,Well 1,829
2019-10-06,Well 1,771
2019-10-07,Well 1,809
2019-10-08,Well 1,515
2019-10-09,Well 1,346
2019-10-10,Well 1,935
2019-10-11,Well 1,538
2019-10-12,Well 1,302
2019-10-13,Well 1,283
2019-10-14,Well 1,222
2019-10-15,Well 1,500
2019-10-16,Well 1,866
2019-10-17,Well 1,393
2019-10-18,Well 1,379
2019-10-19,Well 1,936
2019-10-20,Well 1,983
2019-10-21,Well 1,709
2019-10-22,Well 1,297
2019-10-23,Well 1,610
2019-10-24,Well 1,851
2019-10-25,Well 1,243
2019-10-26,Well 1,708
2019-10-27,Well 1,300
2019-10-28,Well 1,223
2019-10-29,Well 1,286
2019-10-30,Well 1,425
2019-10-31,Well 1,563
2019-11-01,Well 1,448
2019-11-02,Well 1,870
2019-11-03,Well 1,759
2019-11-04,Well 1,863
2019-11-05,Well 1,502
2019-11-06,Well 1,445
2019-11-07,Well 1,610
2019-11-08,Well 1,246
2019-11-09,Well 1,247
2019-11-10,Well 1,963
2019-11-11,Well 1,810
2019-11-12,Well 1,919
2019-11-13,Well 1,588
2019-11-14,Well 1,739
2019-11-15,Well 1,650
2019-11-16,Well 1,437
2019-11-17,Well 1,971
2019-11-18,Well 1,740
2019-11-19,Well 1,878
2019-11-20,Well 1,572
2019-11-21,Well 1,250
2019-11-22,Well 1,514
2019-11-23,Well 1,397
2019-11-24,Well 1,710
2019-11-25,Well 1,362
2019-11-26,Well 1,863
2019-11-27,Well 1,243
2019-11-28,Well 1,445
2019-11-29,Well 1,723
2019-11-30,Well 1,671
2019-12-01,Well 1,980
2019-12-02,Well 1,101
2019-12-03,Well 1,996
2019-12-04,Well 1,403
2019-12-05,Well 1,353
2019-12-06,Well 1,751
2019-12-07,Well 1,552
2019-12-08,Well 1,136
2019-12-09,Well 1,259
2019-12-10,Well 1,108
2019-12-11,Well 1,332
2019-12-12,Well 1,198
2019-12-13,Well 1,758
2019-12-14,Well 1,915
2019-12-15,Well 1,307
2019-12-16,Well 1,230
2019-12-17,Well 1,503
2019-12-18,Well 1,251
2019-12-19,Well 1,153
2019-12-20,Well 1,219
2019-12-21,Well 1,772
2019-12-22,Well 1,727
2019-12-23,Well 1,686
2019-12-24,Well 1,724
2019-12-25,Well 1,519
2019-12-26,Well 1,521
2019-12-27,Well 1,203
2019-12-28,Well 1,951
2019-12-29,Well 1,353
2019-12-30,Well 1,326
2019-12-31,Well 1,211
2020-01-01,Well 1,609
2020-01-02,Well 1,572
2020-01-03,Well 1,198
2020-01-04,Well 1,252
2020-01-05,Well 1,960
2020-01-06,Well 1,995
2020-01-07,Well 1,977
2020-01-08,Well 1,437
2020-01-09,Well 1,805
2020-01-10,Well 1,921
2020-01-11,Well 1,262
2020-01-12,Well 1,819
2020-01-13,Well 1,780
2020-01-14,Well 1,260
2020-01-15,Well 1,679
2020-01-16,Well 1,900
2020-01-17,Well 1,497
2020-01-18,Well 1,376
2020-01-19,Well 1,915
2020-01-20,Well 1,603
2020-01-21,Well 1,995
2020-01-22,Well 1,491
2020-01-23,Well 1,234
2020-01-24,Well 1,294
2020-01-25,Well 1,500
2020-01-26,Well 1,739
2020-01-27,Well 1,132
2020-01-28,Well 1,787
2020-01-29,Well 1,559
2020-01-30,Well 1,982
2020-01-31,Well 1,569
2020-02-01,Well 1,474
2020-02-02,Well 1,121
2020-02-03,Well 1,849
2020-02-04,Well 1,769
2020-02-05,Well 1,137
2020-02-06,Well 1,329
2020-02-07,Well 1,464
2020-02-08,Well 1,662
2020-02-09,Well 1,537
2020-02-10,Well 1,875
2020-02-11,Well 1,382
2020-02-12,Well 1,126
2020-02-13,Well 1,325
2020-02-14,Well 1,376
2020-02-15,Well 1,897
2020-02-16,Well 1,708
2020-02-17,Well 1,383
2020-02-18,Well 1,978
2020-02-19,Well 1,580
2020-02-20,Well 1,552
2020-02-21,Well 1,928
2020-02-22,Well 1,915
2020-02-23,Well 1,758
2020-02-24,Well 1,615
2020-02-25,Well 1,646
2020-02-26,Well 1,291
2020-02-27,Well 1,148
2020-02-28,Well 1,611
2020-02-29,Well 1,116
2020-03-01,Well 1,271
2020-03-02,Well 1,319
2020-03-03,Well 1,257
2020-03-04,Well 1,576
2020-03-05,Well 1,145
2020-03-06,Well 1,472
2020-03-07,Well 1,617
2020-03-08,Well 1,198
2020-03-09,Well 1,991
2020-03-10,Well 1,844
2020-03-11,Well 1,136
2020-03-12,Well 1,379
2020-03-13,Well 1,448
2020-03-14,Well 1,596
2020-03-15,Well 1,401
2020-03-16,Well 1,280
2020-03-17,Well 1,706
2020-03-18,Well 1,198
2020-03-19,Well 1,799
2020-03-20,Well 1,215
2020-03-21,Well 1,290
2020-03-22,Well 1,352
2020-03-23,Well 1,260
2020-03-24,Well 1,355
2020-03-25,Well 1,422
2020-03-26,Well 1,227
2020-03-27,Well 1,117
2020-03-28,Well 1,892
2020-03-29,Well 1,834
2020-03-30,Well 1,665
2020-03-31,Well 1,669
2020-04-01,Well 1,422
2020-04-02,Well 1,971
2020-04-03,Well 1,785
2020-04-04,Well 1,891
2020-04-05,Well 1,725
2020-04-06,Well 1,387
2020-04-07,Well 1,953
2020-04-08,Well 1,762
2020-04-09,Well 1,738
2020-04-10,Well 1,254
2020-04-11,Well 1,589
2020-04-12,Well 1,485
2020-04-13,Well 1,884
2020-04-14,Well 1,203
2020-04-15,Well 1,492
2020-04-16,Well 1,910
2020-04-17,Well 1,345
2020-04-18,Well 1,275
2020-04-19,Well 1,138
2020-04-20,Well 1,576
2020-04-21,Well 1,781
2020-04-22,Well 1,858
2020-04-23,Well 1,637
2020-04-24,Well 1,966
2020-04-25,Well 1,917
2020-04-26,Well 1,507
2020-04-27,Well 1,624
2020-04-28,Well 1,927
2020-04-29,Well 1,605
2020-04-30,Well 1,924
2020-05-01,Well 1,135
2020-05-02,Well 1,784
2020-05-03,Well 1,119
2020-05-04,Well 1,420
2020-05-05,Well 1,875
2020-05-06,Well 1,611
2020-05-07,Well 1,499
2020-05-08,Well 1,753
2020-05-09,Well 1,982
2020-05-10,Well 1,570
2020-05-11,Well 1,242
2020-05-12,Well 1,191
2020-05-13,Well 1,453
2020-05-14,Well 1,933
2020-05-15,Well 1,899
2020-05-16,Well 1,826
2020-05-17,Well 1,953
2020-05-18,Well 1,150
2020-05-19,Well 1,764
2020-05-20,Well 1,797
2020-05-21,Well 1,674
2020-05-22,Well 1,289
2020-05-23,Well 1,224
2020-05-24,Well 1,249
2020-05-25,Well 1,413
2020-05-26,Well 1,669
2020-05-27,Well 1,441
2020-05-28,Well 1,404
2020-05-29,Well 1,791
2020-05-30,Well 1,781
2020-05-31,Well 1,937
2020-06-01,Well 1,882
2020-06-02,Well 1,153
2020-06-03,Well 1,543
2020-06-04,Well 1,712
2020-06-05,Well 1,363
2020-06-06,Well 1,152
2020-06-07,Well 1,671
2020-06-08,Well 1,719
2020-06-09,Well 1,104
2020-06-10,Well 1,202
2020-06-11,Well 1,295
2020-06-12,Well 1,873
2020-06-13,Well 1,976
2020-06-14,Well 1,983
2020-06-15,Well 1,449
2020-06-16,Well 1,146
2020-06-17,Well 1,966
2020-06-18,Well 1,922
2020-06-19,Well 1,919
2020-06-20,Well 1,755
2020-06-21,Well 1,368
2020-06-22,Well 1,469
2020-06-23,Well 1,735
2020-06-24,Well 1,205
2020-06-25,Well 1,769
2020-06-26,Well 1,758
2020-06-27,Well 1,756
2020-06-28,Well 1,219
2020-06-29,Well 1,930
2020-06-30,Well 1,886
2020-07-01,Well 1,703
2020-07-02,Well 1,157
2020-07-03,Well 1,445
2020-07-04,Well 1,840
2020-07-05,Well 1,573
2020-07-06,Well 1,216
2020-07-07,Well 1,929
2020-07-08,Well 1,890
2020-07-09,Well 1,226
2020-07-10,Well 1,492
2020-07-11,Well 1,740
2020-07-12,Well 1,157
2020-07-13,Well 1,733
2020-07-14,Well 1,612
2020-07-15,Well 1,850
2020-07-16,Well 1,901
2020-07-17,Well 1,195
2020-07-18,Well 1,737
2020-07-19,Well 1,217
2020-07-20,Well 1,659
2020-07-21,Well 1,700
2020-07-22,Well 1,587
2020-07-23,Well 1,336
2020-07-24,Well 1,984
2020-07-25,Well 1,996
2020-07-26,Well 1,371
2020-07-27,Well 1,288
2020-07-28,Well 1,803
2020-07-29,Well 1,546
2020-07-30,Well 1,680
2020-07-31,Well 1,889
2020-08-01,Well 1,960
2020-08-02,Well 1,346
2020-08-03,Well 1,175
2020-08-04,Well 1,253
2020-08-05,Well 1,755
2020-08-06,Well 1,534
2020-08-07,Well 1,185
2020-08-08,Well 1,796
2020-08-09,Well 1,384
2020-08-10,Well 1,319
2020-08-11,Well 1,168
2020-08-12,Well 1,146
2020-08-13,Well 1,193
2020-08-14,Well 1,849
2020-08-15,Well 1,552
2020-08-16,Well 1,303
2020-08-17,Well 1,317
2020-08-18,Well 1,573
2020-08-19,Well 1,531
2020-08-20,Well 1,440
2020-08-21,Well 1,650
2020-08-22,Well 1,711
2020-08-23,Well 1,388
2020-08-24,Well 1,353
2020-08-25,Well 1,833
2020-08-26,Well 1,456
2020-08-27,Well 1,122
2020-08-28,Well 1,861
2020-08-29,Well 1,621
2020-08-30,Well 1,857
2020-08-31,Well 1,936
2020-09-01,Well 1,199
2020-09-02,Well 1,901
2020-09-03,Well 1,279
2020-09-04,Well 1,322
2020-09-05,Well 1,861
2020-09-06,Well 1,758
2020-09-07,Well 1,541
2020-09-08,Well 1,707
2020-09-09,Well 1,868
2020-09-10,Well 1,424
2020-09-11,Well 1,615
2020-09-12,Well 1,115
2020-09-13,Well 1,891
2020-09-14,Well 1,435
2020-09-15,Well 1,858
2020-09-16,Well 1,357
2020-09-17,Well 1,596
2020-09-18,Well 1,995
2020-09-19,Well 1,259
2020-09-20,Well 1,574
2020-09-21,Well 1,951
2020-09-22,Well 1,763
2020-09-23,Well 1,789
2020-09-24,Well 1,774
2020-09-25,Well 1,479
2020-09-26,Well 1,644
2020-09-27,Well 1,790
2020-09-28,Well 1,526
2020-09-29,Well 1,712
2020-09-30,Well 1,367
2020-10-01,Well 1,934
2020-10-02,Well 1,676
2020-10-03,Well 1,516
2020-10-04,Well 1,267
2020-10-05,Well 1,941
2020-10-06,Well 1,142
2020-10-07,Well 1,655
2020-10-08,Well 1,384
2020-10-09,Well 1,496
2020-10-10,Well 1,111
2020-10-11,Well 1,706
2020-10-12,Well 1,401
2020-10-13,Well 1,997
2020-10-14,Well 1,352
2020-10-15,Well 1,598
2020-10-16,Well 1,853
2020-10-17,Well 1,134
2020-10-18,Well 1,826
2020-10-19,Well 1,948
2020-10-20,Well 1,189
2020-10-21,Well 1,875
2020-10-22,Well 1,704
2020-10-23,Well 1,701
2020-10-24,Well 1,517
2020-10-25,Well 1,214
2020-10-26,Well 1,716
2020-10-27,Well 1,295
2020-10-28,Well 1,925
2020-10-29,Well 1,600
2020-10-30,Well 1,725
2020-10-31,Well 1,592
2020-11-01,Well 1,174
2020-11-02,Well 1,512
2020-11-03,Well 1,475
2020-11-04,Well 1,519
2020-11-05,Well 1,828
2020-11-06,Well 1,376
2020-11-07,Well 1,860
2020-11-08,Well 1,775
2020-11-09,Well 1,493
2020-11-10,Well 1,968
2020-11-11,Well 1,556
2020-11-12,Well 1,291
2020-11-13,Well 1,838
2020-11-14,Well 1,788
2020-11-15,Well 1,198
2020-11-16,Well 1,647
2020-11-17,Well 1,195
2020-11-18,Well 1,763
2020-11-19,Well 1,762
2020-11-20,Well 1,289
2020-11-21,Well 1,835
2020-11-22,Well 1,136
2020-11-23,Well 1,879
2020-11-24,Well 1,468
2020-11-25,Well 1,794
2020-11-26,Well 1,624
2020-11-27,Well 1,378
2020-11-28,Well 1,316
2020-11-29,Well 1,966
2020-11-30,Well 1,972
2020-12-01,Well 1,897
2020-12-02,Well 1,372
2020-12-03,Well 1,980
2020-12-04,Well 1,161
2020-12-05,Well 1,695
2020-12-06,Well 1,979
2020-12-07,Well 1,828
2020-12-08,Well 1,441
2020-12-09,Well 1,496
2020-12-10,Well 1,798
2020-12-11,Well 1,118
2020-12-12,Well 1,276
2020-12-13,Well 1,711
2020-12-14,Well 1,495
2020-12-15,Well 1,544
2020-12-16,Well 1,332
2020-12-17,Well 1,175
2020-12-18,Well 1,364
2020-12-19,Well 1,554
2020-12-20,Well 1,895
2020-12-21,Well 1,817
2020-12-22,Well 1,834
2020-12-23,Well 1,483
2020-12-24,Well 1,663
2020-12-25,Well 1,950
2020-12-26,Well 1,605
2020-12-27,Well 1,466
2020-12-28,Well 1,243
2020-12-29,Well 1,984
2020-12-30,Well 1,168
2020-12-31,Well 1,198
2021-01-01,Well 1,495
2021-01-02,Well 1,124
2021-01-03,Well 1,990
2021-01-04,Well 1,568
2021-01-05,Well 1,583
2021-01-06,Well 1,664
2021-01-07,Well 1,250
2021-01-08,Well 1,243
2021-01-09,Well 1,668
2021-01-10,Well 1,138
2021-01-11,Well 1,208
2021-01-12,Well 1,792
2021-01-13,Well 1,141
2021-01-14,Well 1,285
2021-01-15,Well 1,497
2021-01-16,Well 1,322
2021-01-17,Well 1,733
2021-01-18,Well 1,232
2021-01-19,Well 1,262
2021-01-20,Well 1,314
2021-01-21,Well 1,832
2021-01-22,Well 1,334
2021-01-23,Well 1,942
2021-01-24,Well 1,757
2021-01-25,Well 1,850
2021-01-26,Well 1,687
2021-01-27,Well 1,108
2021-01-28,Well 1,173
2021-01-29,Well 1,591
2021-01-30,Well 1,352
2021-01-31,Well 1,329
2021-02-01,Well 1,618
2021-02-02,Well 1,273
2021-02-03,Well 1,752
2021-02-04,Well 1,267
2021-02-05,Well 1,269
2021-02-06,Well 1,492
2021-02-07,Well 1,894
2021-02-08,Well 1,733
2021-02-09,Well 1,293
2021-02-10,Well 1,616
2021-02-11,Well 1,128
2021-02-12,Well 1,264
2021-02-13,Well 1,521
2021-02-14,Well 1,438
2021-02-15,Well 1,747
2021-02-16,Well 1,595
2021-02-17,Well 1,464
2021-02-18,Well 1,932
2021-02-19,Well 1,441
2021-02-20,Well 1,599
2021-02-21,Well 1,756
2021-02-22,Well 1,610
2021-02-23,Well 1,426
2021-02-24,Well 1,316
2021-02-25,Well 1,400
2021-02-26,Well 1,231
2021-02-27,Well 1,903
2021-02-28,Well 1,169
2021-03-01,Well 1,351
2021-03-02,Well 1,514
2021-03-03,Well 1,886
2021-03-04,Well 1,544
2021-03-05,Well 1,975
2021-03-06,Well 1,281
2021-03-07,Well 1,266
2021-03-08,Well 1,190
2021-03-09,Well 1,813
2021-03-10,Well 1,957
2021-03-11,Well 1,630
2021-03-12,Well 1,138
2021-03-13,Well 1,225
2021-03-14,Well 1,550
2021-03-15,Well 1,272
2021-03-16,Well 1,752
2021-03-17,Well 1,853
2021-03-18,Well 1,319
2021-03-19,Well 1,737
2021-03-20,Well 1,157
2021-03-21,Well 1,759
2021-03-22,Well 1,575
2021-03-23,Well 1,555
2021-03-24,Well 1,928
2021-03-25,Well 1,994
2021-03-26,Well 1,460
2021-03-27,Well 1,100
2021-03-28,Well 1,486
2021-03-29,Well 1,447
2021-03-30,Well 1,289
2021-03-31,Well 1,604
2021-04-01,Well 1,290
2021-04-02,Well 1,607
2021-04-03,Well 1,468
2021-04-04,Well 1,508
2021-04-05,Well 1,923
2021-04-06,Well 1,216
2021-04-07,Well 1,233
2021-04-08,Well 1,157
2021-04-09,Well 1,655
2021-04-10,Well 1,784
2021-04-11,Well 1,771
2021-04-12,Well 1,272
2021-04-13,Well 1,928
2021-04-14,Well 1,914
2021-04-15,Well 1,248
2021-04-16,Well 1,179
2021-04-17,Well 1,985
2021-04-18,Well 1,312
2021-04-19,Well 1,302
2021-04-20,Well 1,863
2021-04-21,Well 1,328
2021-04-22,Well 1,775
2021-04-23,Well 1,326
2021-04-24,Well 1,758
2021-04-25,Well 1,631
2021-04-26,Well 1,540
2021-04-27,Well 1,501
2021-04-28,Well 1,146
2021-04-29,Well 1,332
2021-04-30,Well 1,404
2021-05-01,Well 1,625
2021-05-02,Well 1,242
2021-05-03,Well 1,514
2021-05-04,Well 1,612
2021-05-05,Well 1,472
2021-05-06,Well 1,665
2021-05-07,Well 1,985
2021-05-08,Well 1,358
2021-05-09,Well 1,755
2021-05-10,Well 1,570
2021-05-11,Well 1,111
2021-05-12,Well 1,429
2021-05-13,Well 1,835
2021-05-14,Well 1,883
2021-05-15,Well 1,457
2021-05-16,Well 1,507
2021-05-17,Well 1,767
2021-05-18,Well 1,472
2021-05-19,Well 1,107
2021-05-20,Well 1,221
2021-05-21,Well 1,447
2021-05-22,Well 1,775
2021-05-23,Well 1,189
2021-05-24,Well 1,747
2021-05-25,Well 1,797
2021-05-26,Well 1,415
2021-05-27,Well 1,277
2021-05-28,Well 1,639
2021-05-29,Well 1,831
2021-05-30,Well 1,968
2021-05-31,Well 1,140
2021-06-01,Well 1,839
2021-06-02,Well 1,803
2021-06-03,Well 1,601
2021-06-04,Well 1,244
2021-06-05,Well 1,300
2021-06-06,Well 1,823
2021-06-07,Well 1,560
2021-06-08,Well 1,831
2021-06-09,Well 1,851
2021-06-10,Well 1,657
2021-06-11,Well 1,646
2021-06-12,Well 1,352
2021-06-13,Well 1,489
2021-06-14,Well 1,693
2021-06-15,Well 1,982
2021-06-16,Well 1,355
2021-06-17,Well 1,808
2021-06-18,Well 1,914
2021-06-19,Well 1,549
2021-06-20,Well 1,109
2021-06-21,Well 1,923
2021-06-22,Well 1,897
2021-06-23,Well 1,341
2021-06-24,Well 1,350
2021-06-25,Well 1,976
2021-06-26,Well 1,104
2021-06-27,Well 1,218
2021-06-28,Well 1,900
2021-06-29,Well 1,473
2021-06-30,Well 1,164
2021-07-01,Well 1,245
2021-07-02,Well 1,323
2021-07-03,Well 1,338
2021-07-04,Well 1,276
2021-07-05,Well 1,878
2021-07-06,Well 1,952
2021-07-07,Well 1,381
2021-07-08,Well 1,162
2021-07-09,Well 1,316
2021-07-10,Well 1,953
2021-07-11,Well 1,926
2021-07-12,Well 1,894
2021-07-13,Well 1,788
2021-07-14,Well 1,560
2021-07-15,Well 1,709
2021-07-16,Well 1,204
2021-07-17,Well 1,198
2021-07-18,Well 1,610
2021-07-19,Well 1,484
2021-07-20,Well 1,504
2021-07-21,Well 1,922
2021-07-22,Well 1,617
2021-07-23,Well 1,575
2021-07-24,Well 1,808
2021-07-25,Well 1,962
2021-07-26,Well 1,744
2021-07-27,Well 1,969
2021-07-28,Well 1,870
2021-07-29,Well 1,536
2021-07-30,Well 1,122
2021-07-31,Well 1,664
2021-08-01,Well 1,776
2021-08-02,Well 1,813
2021-08-03,Well 1,557
2021-08-04,Well 1,182
2021-08-05,Well 1,244
2021-08-06,Well 1,184
2021-08-07,Well 1,177
2021-08-08,Well 1,556
2021-08-09,Well 1,977
2021-08-10,Well 1,100
2021-08-11,Well 1,150
2021-08-12,Well 1,784
2021-08-13,Well 1,816
2021-08-14,Well 1,871
2021-08-15,Well 1,545
2021-08-16,Well 1,548
2021-08-17,Well 1,980
2021-08-18,Well 1,587
2021-08-19,Well 1,899
2021-08-20,Well 1,133
2021-08-21,Well 1,447
2021-08-22,Well 1,194
2021-08-23,Well 1,171
2021-08-24,Well 1,650
2021-08-25,Well 1,253
2021-08-26,Well 1,349
2021-08-27,Well 1,773
2021-08-28,Well 1,537
2021-08-29,Well 1,217
2021-08-30,Well 1,870
2021-08-31,Well 1,990
2021-09-01,Well 1,405
2021-09-02,Well 1,367
2021-09-03,Well 1,153
2021-09-04,Well 1,335
2021-09-05,Well 1,488
2021-09-06,Well 1,833
2021-09-07,Well 1,862
2021-09-08,Well 1,924
2021-09-09,Well 1,500
2021-09-10,Well 1,723
2021-09-11,Well 1,866
2021-09-12,Well 1,402
2021-09-13,Well 1,306
2021-09-14,Well 1,328
2021-09-15,Well 1,952
2021-09-16,Well 1,677
2021-09-17,Well 1,174
2021-09-18,Well 1,534
2021-09-19,Well 1,202
2021-09-20,Well 1,521
2021-09-21,Well 1,803
2021-09-22,Well 1,863
2021-09-23,Well 1,837
